RecordDateTime,ModuleName,ThreadId,FileNameAndLineNum,LogLevel,Description
10:47:57:968 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , "CTaskDB::DoSave:[update task_v2 set  id='3EBEFC553141245C8B6ECE3386224A91', add_time=1584413274294, is_upload=1, state=4, group_id='{CB6F7374-4E37-454F-8798-170B61D27D9E}', task_info='{""task_id"":""3EBEFC553141245C8B6ECE3386224A91"",""state"":""StateWorking"",""is_folder"":false,""add_time"":1584413274294,""priority"":3,""size"":10238283,""sub_task_count"":1,""is_upload"":true,""error_code"":0,""error_info"":"""",""complete_bytes"":0,""send_bytes"":10238283,""used_time"":2856,""complete_sub_task_count"":0,""speed"":2047656,""group_id"":""{CB6F7374-4E37-454F-8798-170B61D27D9E}"",""box_file"":{""path"":""/UC-download.mp4"",""neid"":"""",""rev"":""""},""local_file"":{""path"":""E:\\ÁªÏëÔÆÅÌ\\UC-download.mp4""}}'where id='3EBEFC553141245C8B6ECE3386224A91';]"
10:47:58:136 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:958FA1A30BE621EF1D9EC7AFBB75726F
10:47:58:136 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:958FA1A30BE621EF1D9EC7AFBB75726F;state:StateWorking
10:47:58:215 , CieMyCtrl , 17052 , "LDTaskMgrAdapter.cpp : 73" , 4 , "send  request 11: POST https://content-yunpan.lenovows.com/v2/commit_chunked_upload/commit/databox%2fUC-download.mp4 [ bytes=10238283&is_file_commit=true&op_type=sync&overwrite=true&path=%2fUC-download.mp4&hashes[]=33f380a20a29a90a58a02f67cf55553df72ae2d6b7506abc2deda3e8aa151e2a&hashes[]=cf5232126926ec4b6e29b7b5550a936a86a277ab013e0e85361933afb795dd9e&hashes[]=36a0607b2a7cbc4d05f305db5e1e048c4fcd92845ae523277a6da2d61e4396b3 ]"
10:47:58:215 , CieMyCtrl , 17052 , "LDTaskMgrAdapter.cpp : 73" , 4 , "server return 11: [ 200 ] {""metadata"":{""access_mode"":1,""account_id"":426291,""bytes"":10238283,""delivery_code"":"""",""desc"":"""",""hash"":""62c1cb66c0d9959510dad55b88bfca5d"",""is_deleted"":false,""is_dir"":false,""mime_type"":""video/.mp4"",""modified"":""2020-03-17T10:47:59+0800"",""neid"":609197283,""path"":""/UC-download.mp4"",""result"":""success"",""rev"":""a22fa64594824729b83b1cfd7e17bde5"",""rev_index"":1,""router"":{},""size"":""9.8 MB"",""thumb_exist"":false},""needed_block"":[],""upload_id"":""""}"
10:47:58:259 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CSubTaskDB::DoSave:C:\Users\È«ÐËÎÄ\AppData\Roaming\Lenovo\UploadPlugin\LenovoCloud\3EBEFC553141245C8B6ECE3386224A91\subtasks.db
10:47:58:259 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:58:259 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:58:259 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:58:259 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:58:259 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:58:259 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateCompleted
